XSect,xminus,xplus
0.023326237079399504,0.0,1.0
0.09577163087292238,1.0,2.0
0.19153534952865292,2.0,3.0
0.2516961086672594,3.0,4.0
0.32413156852027647,4.0,5.0
0.4022997222940412,5.0,6.0
0.47145574212605734,6.0,7.0
0.574188445381567,7.0,8.0
0.6515406506832793,8.0,9.0
0.7501657935839237,9.0,10.0
0.8536895816394748,10.0,11.0
0.9543647071335797,11.0,12.0
1.058763411700571,12.0,13.0
1.2089612561057144,13.0,14.0
1.3251786457666161,14.0,15.0
1.5314664291510944,15.0,16.0
1.639104481939377,16.0,17.0
1.659118007603027,17.0,18.0
1.7638991287797685,18.0,19.0
1.8490453053017444,19.0,20.0
1.941896333894196,20.0,21.0
1.9898054769000404,21.0,22.0
2.1076833525218444,22.0,23.0
2.203444360015653,23.0,24.0
2.2615954146894204,24.0,25.0
2.3012605827922403,25.0,26.0
2.4318277041502103,26.0,27.0
2.5255410854598828,27.0,28.0
2.647494608407204,28.0,29.0
2.746950672637807,29.0,30.0
2.8431017437811237,30.0,31.0
2.811586466749535,31.0,32.0
2.922105640218239,32.0,33.0
3.152542954796704,33.0,34.0
3.2326962338835337,34.0,35.0
3.294106225510261,35.0,36.0
3.4279805285580243,36.0,37.0
3.583479524556593,37.0,38.0
3.5932484389391863,38.0,39.0
3.7803061509152567,39.0,40.0
3.8965179478908234,40.0,41.0
4.131473366231369,41.0,42.0
4.154010312193649,42.0,43.0
4.271082482054085,43.0,44.0
4.501402353007296,44.0,45.0
4.646287284114004,45.0,46.0
4.819448396888362,46.0,47.0
4.958544013747643,47.0,48.0
5.216803051060753,48.0,49.0
5.399778696730756,49.0,50.0
5.59293724899123,50.0,51.0
5.87289384062449,51.0,52.0
6.138479550059818,52.0,53.0
6.343881598911748,53.0,54.0
6.654901754369602,54.0,55.0
6.894377707074134,55.0,56.0
7.173511482785118,56.0,57.0
7.630988060223782,57.0,58.0
8.030821467852968,58.0,59.0
8.418896406435573,59.0,60.0
8.902565516225179,60.0,61.0
9.38109376620306,61.0,62.0
9.932238085604133,62.0,63.0
10.705758316909975,63.0,64.0
11.417423262624663,64.0,65.0
12.41149080991424,65.0,66.0
13.254216791777685,66.0,67.0
14.243369272283086,67.0,68.0
15.784657629154356,68.0,69.0
17.13742331395804,69.0,70.0
19.12014846977588,70.0,71.0
21.558122210236903,71.0,72.0
24.3525527287682,72.0,73.0
28.100010392836264,73.0,74.0
33.160159779423196,74.0,75.0
40.294705705734245,75.0,76.0
50.96412548029634,76.0,77.0
68.46013680437302,77.0,78.0
101.34034618605835,78.0,79.0
172.7663019396901,79.0,80.0
295.48255550790077,80.0,81.0
353.6118829621578,81.0,82.0
346.0801360352191,82.0,83.0
329.3297637981185,83.0,84.0
315.8849109931357,84.0,85.0
303.37697975849153,85.0,86.0
293.5353404290362,86.0,87.0
285.1984385689607,87.0,88.0
279.351066669467,88.0,89.0
273.018597829831,89.0,90.0
267.5746196374308,90.0,91.0
263.11600272993434,91.0,92.0
259.51056640003094,92.0,93.0
255.32341509327648,93.0,94.0
251.60890085482572,94.0,95.0
248.76522285038754,95.0,96.0
245.57017686580727,96.0,97.0
242.85251494569272,97.0,98.0
239.475561538642,98.0,99.0
236.41267207303196,99.0,100.0
234.14468324407363,100.0,101.0
231.29725855505143,101.0,102.0
229.09220138776914,102.0,103.0
226.30999782586784,103.0,104.0
223.9499192942752,104.0,105.0
221.32941652473366,105.0,106.0
218.56445975662436,106.0,107.0
216.32314092267754,107.0,108.0
213.29267295516942,108.0,109.0
210.8021205953861,109.0,110.0
208.17048773075027,110.0,111.0
205.88462054741188,111.0,112.0
202.8342730122571,112.0,113.0
200.3833848556772,113.0,114.0
197.5398656951627,114.0,115.0
194.7890039596412,115.0,116.0
191.7366277946264,116.0,117.0
189.11907287570224,117.0,118.0
185.0146915728007,118.0,119.0
180.3907850077252,119.0,120.0
